 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #253,0,0,0,1,0,0,0,1,0,0,1,11,0
eChild #254,0,0,0,0,0,0,0,0,0,0,14,8,0
eChild #255,0,0,0,0,0,0,0,10,0,0,0,11,0
eChild #256,0,0,0,0,0,0,0,5,0,0,13,19,0
eChild #257,0,0,0,1,0,0,0,2,0,0,10,11,0
eChild #258,0,0,0,0,0,0,0,9,0,0,0,7,0
eChild #259,0,0,0,0,0,0,0,13,0,0,0,13,0
eChild #260,0,0,0,0,0,0,0,10,0,0,10,2,0
eChild #261,0,0,0,0,0,0,0,7,0,0,1,4,0
eChild #262,0,0,0,1,0,0,0,0,0,0,1,9,0
eChild #263,0,0,0,0,0,0,0,0,0,0,0,32,0
eChild #264,0,0,0,0,0,0,0,3,0,0,1,18,0
eChild #265,0,0,0,0,0,0,0,17,0,0,2,5,0
eChild #266,0,0,0,0,0,0,0,1,0,0,1,5,0
eChild #267,0,0,0,2,0,0,0,3,0,0,2,12,0
eChild #268,0,0,0,0,0,0,0,0,0,0,6,12,0
eChild #269,0,0,0,0,0,0,0,4,0,0,1,39,0
eChild #270,0,0,0,0,0,0,0,21,0,0,2,11,0
eChild #271,0,0,0,0,0,0,0,3,0,0,3,5,0
eChild #272,0,0,0,2,0,0,0,13,0,0,2,7,0
eChild #273,0,0,0,1,0,0,0,0,0,0,1,10,0
eChild #274,0,0,0,2,0,0,0,2,0,0,3,2,0
eChild #275,0,0,0,0,0,0,0,18,0,0,1,3,0
eChild #276,0,0,0,0,0,0,0,21,0,0,11,28,0
eChild #277,0,0,0,0,0,0,0,8,0,0,6,5,0
eChild #278,0,0,0,0,0,0,0,12,0,0,10,14,0
eChild #279,0,0,0,0,0,0,0,0,0,0,10,17,0
eChild #280,0,0,0,0,0,0,0,2,0,0,18,9,0
eChild #281,0,0,0,0,0,0,0,16,0,0,8,21,0
eChild #282,0,0,0,1,0,0,0,1,0,0,1,34,0
eChild #283,0,0,0,2,0,0,0,11,0,0,3,6,0
eChild #284,0,0,0,1,0,0,0,4,0,0,1,10,0
eChild #285,0,0,0,0,0,0,0,1,0,0,11,2,0
eChild #286,0,0,0,4,0,0,0,2,0,0,6,4,0
eChild #287,0,0,0,0,0,0,0,28,0,0,11,6,0
eChild #288,0,0,0,1,0,0,0,2,0,0,1,8,0
eChild #289,0,0,0,0,0,0,0,4,0,0,31,0,0
eChild #290,0,0,0,0,0,0,0,6,0,0,8,12,0
eChild #291,0,0,0,0,0,0,0,4,0,0,26,6,0
eChild #292,0,0,0,1,0,0,0,25,0,0,24,10,0
eChild #293,0,0,0,1,0,0,0,20,0,0,4,28,0
eChild #294,0,0,0,1,0,0,0,27,0,0,8,3,0
eChild #295,0,0,0,1,0,0,0,6,0,0,1,42,0
eChild #296,0,0,0,1,0,0,0,1,0,0,1,4,0
eChild #297,0,0,0,0,0,0,0,3,0,0,3,0,0
eChild #298,0,0,0,1,0,0,0,21,0,0,21,1,0
eChild #299,0,0,0,0,0,0,0,9,0,0,2,26,0
eChild #300,0,0,0,0,0,0,0,1,0,0,10,4,0
eChild #301,0,0,0,0,0,0,0,48,0,0,5,6,0
eChild #302,0,0,0,0,0,0,0,0,0,0,6,0,0
eChild #303,0,0,0,0,0,0,0,9,0,0,0,9,0
eChild #304,0,0,0,0,0,0,0,1,0,0,1,0,0
eChild #305,0,0,0,0,0,0,0,7,0,0,5,3,0
eChild #306,0,0,0,0,0,0,0,22,0,0,0,13,0
eChild #307,0,0,0,0,0,0,0,12,0,0,0,20,0
eChild #308,0,0,0,0,0,0,0,9,0,0,9,28,0
eChild #309,0,0,0,0,0,0,0,0,0,0,0,12,0
eChild #310,0,0,0,0,0,0,0,18,0,0,10,18,0
eChild #311,0,0,0,1,0,0,0,7,0,0,1,4,0
eChild #312,0,0,0,0,0,0,0,2,0,0,2,10,0
eChild #313,0,0,0,0,0,0,0,1,0,0,0,9,0
eChild #314,0,0,0,1,0,0,0,23,0,0,18,64,0
eChild #315,0,0,0,0,0,0,0,21,0,0,18,5,0
eChild #316,0,0,0,0,0,0,0,11,0,0,22,17,0
eChild #317,0,0,0,0,0,0,0,5,0,0,10,1,0
eChild #318,0,0,0,0,0,0,0,2,0,0,5,21,0
eChild #319,0,0,0,2,0,0,0,26,0,0,4,20,0
eChild #320,0,0,0,1,0,0,0,12,0,0,2,3,0
eChild #321,0,0,0,0,0,0,0,10,0,0,13,24,0
